ID,Название товара,Цена товара,Количество товара
37170,"Орбита OT-APZ15 ЗУ для аккум 1 гнездо (18650, 220В)",218.99,2801
37172,"Орбита OT-APZ16 ЗУ для аккум 2 гнезда (18650, 220В)",326.17,2669
37173,"Орбита OT-APZ17 ЗУ для аккум 4 гнезда (18650, 220В) ",622.78,124
38898,Орбита OT-AVW50 HDMI сплиттер (1 вход HDMI - 2 выхода HDMI),267.96,2061
34707,Орбита OT-AVW51 переходник HDMI2AV (гнездо HDMI вход - гнезда 3*RCA),205.13,2379
38896,Орбита OT-AVW52 переходник AV2HDMI (гнездо HDMI выход - гнезда 3*RCA),335.41,2333
38895,Орбита OT-AVW53 переходник (штекер Lightning - гнездо HDMI/Lightning) 15 см,496.19,894
38890,Орбита OT-AVW54 переходник (штекер TYPE-C - гнездо HDMI) 15см,327.10,3886
43012,Орбита OT-AVW59 кабель штекер DISPLAY PORT - штекер DISPLAY PORT 1м (v1.4),316.93,11
43013,Орбита OT-AVW59 кабель штекер DISPLAY PORT - штекер DISPLAY PORT 3м (v1.4),470.32,0
43014,Орбита OT-AVW59 кабель штекер DISPLAY PORT - штекер DISPLAY PORT 5м (v1.4),770.62,103
42330,"Орбита OT-CLT08 Черные часы настольные проекционные (будильник, температура, дата)",609.84,875
42329,"Орбита OT-CLT08 Белые часы настольные проекционные (будильник, температура, дата)",609.84,1
21540,Орбита OT-DVC17 пульт ТВ универсальный (LCD/LED Samsung),159.85,940
9006,Орбита OT-DVC18 пульт ТВ универсальный (LCD/LED Samsung),120.12,1815
27281,Орбита OT-DVC21 пульт ТВ универсальный (LCD/LED Philips),164.47,138
21535,Орбита OT-DVC24 пульт ТВ универсальный (LCD/LED Philips),133.06,1757
38477,Орбита OT-DVC27 пульт универсальный для кондиционеров,148.76,825
37527,"Орбита OT-DVC33/41 пульт универсальный (USB, гироскоп, голос)",510.97,54
37534,"Орбита OT-DVC36 пульт универсальный (USB, гироскоп, голос)",476.78,311
10588,"Орбита OT-GSM08 антенна GSM (806-2700Мгц, 7дБ)",479.56,86
10587,"Орбита OT-GSM09 антенна GSM (800-2700Мгц, 5дБ)",283.67,0
24201,"Орбита OT-GSM11 антенна GSM (700-2700Мгц, 5дБ)",464.77,0
36554,"Орбита OT-HOC18 Черный Звонок дистанц (220В, 200м)",666.20,2195
36555,"Орбита OT-HOC18 Белый Звонок дистанц (220В, 200м)",666.20,1875
36553,"Орбита OT-HOC19 Звонок дистанц (220В, 200м)",429.66,7413
42670,"Орбита OT-HOC20 Черный Звонок дистанц (220В, 200м)",607.07,2173
42669,"Орбита OT-HOC20 Белый Звонок дистанц (220В, 200м)",607.07,2268
42687,Орбита OT-HOD20 кронштейн-подставка (30*12.5см),221.76,2013
42671,"Орбита OT-HOC21 Звонок дистанц (220В, 200м)",544.24,3169
25018,Орбита OT-HOM09 термометр для аквариума на присоске,145.99,5700
15674,Орбита OT-HOM10 термометр цифровой,74.84,21063
29296,Орбита OT-HOM17(TA328) термометр гигрометр,300.30,1909
13057,Орбита OT-HOM22 Белый таймер-секундомер,118.27,5590
35060,Орбита OT-HOM22 Голубой таймер-секундомер,118.27,3571
35061,Орбита OT-HOM22 Зеленый таймер-секундомер ,118.27,4528
42706,Орбита OT-HOM26 термометр гигрометр цифровой,159.85,2696
42709,Орбита OT-HOM27 термометр цифровой для холодильника,319.70,979
36797,"Орбита OT-HOS01 Пульт ДУ для световых приборов (1 канал, 220В)",199.58,2808
